Questions,Hard Negative Retrieved Index
Can you provide the location of alseda_1?,"['alseda', 'alseda_2']"
Can alseda_1 be interacted with?,"['alseda', 'alseda_2']"
What kind of material is alseda_1 made of?,"['alseda', 'alseda_2']"
Could you describe the color of alseda_1?,"['alseda', 'alseda_2']"
How far is alseda_1 from the player?,"['alseda', 'alseda_2']"
Which direction is alseda_1 located relative to the player?,"['alseda', 'alseda_2']"
Can you provide the location of alseda_2?,"['alseda', 'alseda_1']"
Can alseda_2 be interacted with?,"['alseda', 'alseda_1']"
What kind of material is alseda_2 made of?,"['alseda', 'alseda_1']"
Could you describe the color of alseda_2?,"['alseda', 'alseda_1']"
How far is alseda_2 from the player?,"['alseda', 'alseda_1']"
Which direction is alseda_2 located relative to the player?,"['alseda', 'alseda_1']"
Can you provide the location of courtyard door_1?,"['courtyard door', 'courtyard door_2']"
Can you provide the location of courtyard door_1?,"['courtyard door', 'courtyard door_3']"
Can courtyard door_1 be interacted with?,"['courtyard door', 'courtyard door_2']"
Can courtyard door_1 be interacted with?,"['courtyard door', 'courtyard door_3']"
What kind of material is courtyard door_1 made of?,"['courtyard door', 'courtyard door_2']"
What kind of material is courtyard door_1 made of?,"['courtyard door', 'courtyard door_3']"
Could you describe the color of courtyard door_1?,"['courtyard door', 'courtyard door_2']"
Could you describe the color of courtyard door_1?,"['courtyard door', 'courtyard door_3']"
How far is courtyard door_1 from the player?,"['courtyard door', 'courtyard door_2']"
How far is courtyard door_1 from the player?,"['courtyard door', 'courtyard door_3']"
Which direction is courtyard door_1 located relative to the player?,"['courtyard door', 'courtyard door_2']"
Which direction is courtyard door_1 located relative to the player?,"['courtyard door', 'courtyard door_3']"
Can you provide the location of courtyard door_2?,"['courtyard door', 'courtyard door_1']"
Can you provide the location of courtyard door_2?,"['courtyard door', 'courtyard door_3']"
Can courtyard door_2 be interacted with?,"['courtyard door', 'courtyard door_1']"
Can courtyard door_2 be interacted with?,"['courtyard door', 'courtyard door_3']"
What kind of material is courtyard door_2 made of?,"['courtyard door', 'courtyard door_1']"
What kind of material is courtyard door_2 made of?,"['courtyard door', 'courtyard door_3']"
Could you describe the color of courtyard door_2?,"['courtyard door', 'courtyard door_1']"
Could you describe the color of courtyard door_2?,"['courtyard door', 'courtyard door_3']"
How far is courtyard door_2 from the player?,"['courtyard door', 'courtyard door_1']"
How far is courtyard door_2 from the player?,"['courtyard door', 'courtyard door_3']"
Which direction is courtyard door_2 located relative to the player?,"['courtyard door', 'courtyard door_1']"
Which direction is courtyard door_2 located relative to the player?,"['courtyard door', 'courtyard door_3']"
Can you provide the location of courtyard door_3?,"['courtyard door', 'courtyard door_1']"
Can you provide the location of courtyard door_3?,"['courtyard door', 'courtyard door_2']"
Can courtyard door_3 be interacted with?,"['courtyard door', 'courtyard door_1']"
Can courtyard door_3 be interacted with?,"['courtyard door', 'courtyard door_2']"
What kind of material is courtyard door_3 made of?,"['courtyard door', 'courtyard door_1']"
What kind of material is courtyard door_3 made of?,"['courtyard door', 'courtyard door_2']"
Could you describe the color of courtyard door_3?,"['courtyard door', 'courtyard door_1']"
Could you describe the color of courtyard door_3?,"['courtyard door', 'courtyard door_2']"
How far is courtyard door_3 from the player?,"['courtyard door', 'courtyard door_1']"
How far is courtyard door_3 from the player?,"['courtyard door', 'courtyard door_2']"
Which direction is courtyard door_3 located relative to the player?,"['courtyard door', 'courtyard door_1']"
Which direction is courtyard door_3 located relative to the player?,"['courtyard door', 'courtyard door_2']"
Can you provide the location of hemnes drawer_1?,"['hemnes drawer', 'hemnes drawer_2']"
Can hemnes drawer_1 be interacted with?,"['hemnes drawer', 'hemnes drawer_2']"
What kind of material is hemnes drawer_1 made of?,"['hemnes drawer', 'hemnes drawer_2']"
Could you describe the color of hemnes drawer_1?,"['hemnes drawer', 'hemnes drawer_2']"
How far is hemnes drawer_1 from the player?,"['hemnes drawer', 'hemnes drawer_2']"
Which direction is hemnes drawer_1 located relative to the player?,"['hemnes drawer', 'hemnes drawer_2']"
Can you provide the location of hemnes drawer_2?,"['hemnes drawer', 'hemnes drawer_1']"
Can hemnes drawer_2 be interacted with?,"['hemnes drawer', 'hemnes drawer_1']"
What kind of material is hemnes drawer_2 made of?,"['hemnes drawer', 'hemnes drawer_1']"
Could you describe the color of hemnes drawer_2?,"['hemnes drawer', 'hemnes drawer_1']"
How far is hemnes drawer_2 from the player?,"['hemnes drawer', 'hemnes drawer_1']"
Which direction is hemnes drawer_2 located relative to the player?,"['hemnes drawer', 'hemnes drawer_1']"
Can you provide the location of knod_1?,"['knod', 'knod_2']"
Can knod_1 be interacted with?,"['knod', 'knod_2']"
What kind of material is knod_1 made of?,"['knod', 'knod_2']"
Could you describe the color of knod_1?,"['knod', 'knod_2']"
How far is knod_1 from the player?,"['knod', 'knod_2']"
Which direction is knod_1 located relative to the player?,"['knod', 'knod_2']"
Can you provide the location of knod_2?,"['knod', 'knod_1']"
Can knod_2 be interacted with?,"['knod', 'knod_1']"
What kind of material is knod_2 made of?,"['knod', 'knod_1']"
Could you describe the color of knod_2?,"['knod', 'knod_1']"
How far is knod_2 from the player?,"['knod', 'knod_1']"
Which direction is knod_2 located relative to the player?,"['knod', 'knod_1']"
Can you provide the location of selia_1?,"['selia', 'selia_2']"
Can selia_1 be interacted with?,"['selia', 'selia_2']"
What kind of material is selia_1 made of?,"['selia', 'selia_2']"
Could you describe the color of selia_1?,"['selia', 'selia_2']"
How far is selia_1 from the player?,"['selia', 'selia_2']"
Which direction is selia_1 located relative to the player?,"['selia', 'selia_2']"
Can you provide the location of selia_2?,"['selia', 'selia_1']"
Can selia_2 be interacted with?,"['selia', 'selia_1']"
What kind of material is selia_2 made of?,"['selia', 'selia_1']"
Could you describe the color of selia_2?,"['selia', 'selia_1']"
How far is selia_2 from the player?,"['selia', 'selia_1']"
Which direction is selia_2 located relative to the player?,"['selia', 'selia_1']"
Can you provide the location of towel_1?,"['towel', 'towel_2']"
Can you provide the location of towel_1?,"['towel', 'towel_3']"
Can you provide the location of towel_1?,"['towel', 'towel_4']"
Can towel_1 be interacted with?,"['towel', 'towel_2']"
Can towel_1 be interacted with?,"['towel', 'towel_3']"
Can towel_1 be interacted with?,"['towel', 'towel_4']"
What kind of material is towel_1 made of?,"['towel', 'towel_2']"
What kind of material is towel_1 made of?,"['towel', 'towel_3']"
What kind of material is towel_1 made of?,"['towel', 'towel_4']"
Could you describe the color of towel_1?,"['towel', 'towel_2']"
Could you describe the color of towel_1?,"['towel', 'towel_3']"
Could you describe the color of towel_1?,"['towel', 'towel_4']"
How far is towel_1 from the player?,"['towel', 'towel_2']"
How far is towel_1 from the player?,"['towel', 'towel_3']"
How far is towel_1 from the player?,"['towel', 'towel_4']"
Which direction is towel_1 located relative to the player?,"['towel', 'towel_2']"
Which direction is towel_1 located relative to the player?,"['towel', 'towel_3']"
Which direction is towel_1 located relative to the player?,"['towel', 'towel_4']"
Can you provide the location of towel_2?,"['towel', 'towel_1']"
Can you provide the location of towel_2?,"['towel', 'towel_3']"
Can you provide the location of towel_2?,"['towel', 'towel_4']"
Can towel_2 be interacted with?,"['towel', 'towel_1']"
Can towel_2 be interacted with?,"['towel', 'towel_3']"
Can towel_2 be interacted with?,"['towel', 'towel_4']"
What kind of material is towel_2 made of?,"['towel', 'towel_1']"
What kind of material is towel_2 made of?,"['towel', 'towel_3']"
What kind of material is towel_2 made of?,"['towel', 'towel_4']"
Could you describe the color of towel_2?,"['towel', 'towel_1']"
Could you describe the color of towel_2?,"['towel', 'towel_3']"
Could you describe the color of towel_2?,"['towel', 'towel_4']"
How far is towel_2 from the player?,"['towel', 'towel_1']"
How far is towel_2 from the player?,"['towel', 'towel_3']"
How far is towel_2 from the player?,"['towel', 'towel_4']"
Which direction is towel_2 located relative to the player?,"['towel', 'towel_1']"
Which direction is towel_2 located relative to the player?,"['towel', 'towel_3']"
Which direction is towel_2 located relative to the player?,"['towel', 'towel_4']"
Can you provide the location of towel_3?,"['towel', 'towel_1']"
Can you provide the location of towel_3?,"['towel', 'towel_2']"
Can you provide the location of towel_3?,"['towel', 'towel_4']"
Can towel_3 be interacted with?,"['towel', 'towel_1']"
Can towel_3 be interacted with?,"['towel', 'towel_2']"
Can towel_3 be interacted with?,"['towel', 'towel_4']"
What kind of material is towel_3 made of?,"['towel', 'towel_1']"
What kind of material is towel_3 made of?,"['towel', 'towel_2']"
What kind of material is towel_3 made of?,"['towel', 'towel_4']"
Could you describe the color of towel_3?,"['towel', 'towel_1']"
Could you describe the color of towel_3?,"['towel', 'towel_2']"
Could you describe the color of towel_3?,"['towel', 'towel_4']"
How far is towel_3 from the player?,"['towel', 'towel_1']"
How far is towel_3 from the player?,"['towel', 'towel_2']"
How far is towel_3 from the player?,"['towel', 'towel_4']"
Which direction is towel_3 located relative to the player?,"['towel', 'towel_1']"
Which direction is towel_3 located relative to the player?,"['towel', 'towel_2']"
Which direction is towel_3 located relative to the player?,"['towel', 'towel_4']"
Can you provide the location of towel_4?,"['towel', 'towel_1']"
Can you provide the location of towel_4?,"['towel', 'towel_2']"
Can you provide the location of towel_4?,"['towel', 'towel_3']"
Can towel_4 be interacted with?,"['towel', 'towel_1']"
Can towel_4 be interacted with?,"['towel', 'towel_2']"
Can towel_4 be interacted with?,"['towel', 'towel_3']"
What kind of material is towel_4 made of?,"['towel', 'towel_1']"
What kind of material is towel_4 made of?,"['towel', 'towel_2']"
What kind of material is towel_4 made of?,"['towel', 'towel_3']"
Could you describe the color of towel_4?,"['towel', 'towel_1']"
Could you describe the color of towel_4?,"['towel', 'towel_2']"
Could you describe the color of towel_4?,"['towel', 'towel_3']"
How far is towel_4 from the player?,"['towel', 'towel_1']"
How far is towel_4 from the player?,"['towel', 'towel_2']"
How far is towel_4 from the player?,"['towel', 'towel_3']"
Which direction is towel_4 located relative to the player?,"['towel', 'towel_1']"
Which direction is towel_4 located relative to the player?,"['towel', 'towel_2']"
Which direction is towel_4 located relative to the player?,"['towel', 'towel_3']"
